province;red;green;blue;x;x
1;42;141;43;x;x
2;0;33;25;x;x
3;84;195;81;x;x
4;168;192;87;x;x
5;126;39;84;x;x
6;168;153;32;x;x
7;84;99;36;x;x
8;168;183;37;x;x
9;42;18;58;x;x
10;84;138;36;x;x
11;0;135;0;x;x
12;126;33;54;x;x
13;84;63;1;x;x
14;126;57;29;x;x
15;168;195;52;x;x
16;126;174;84;x;x
17;84;102;1;x;x
18;42;90;28;x;x
19;0;48;50;x;x
20;168;30;47;x;x
21;84;42;91;x;x
22;0;57;0;x;x
23;84;129;41;x;x
24;126;186;44;x;x
25;84;177;36;x;x
26;168;57;87;x;x
27;0;18;45;x;x
28;84;72;96;x;x
29;42;57;58;x;x
30;84;135;71;x;x
31;126;150;9;x;x
32;126;180;14;x;x
33;0;180;85;x;x
34;0;195;10;x;x
35;168;27;82;x;x
36;126;183;79;x;x
37;0;186;15;x;x
38;126;159;4;x;x
39;84;111;96;x;x
40;168;123;27;x;x
41;0;210;90;x;x
42;0;150;80;x;x
43;168;12;57;x;x
44;0;105;95;x;x
45;84;105;66;x;x
46;84;84;56;x;x
47;0;132;35;x;x
48;84;75;61;x;x
49;42;177;78;x;x
50;0;0;55;x;x
51;126;54;64;x;x
52;168;102;72;x;x
53;0;141;30;x;x
54;84;9;21;x;x
55;42;204;18;x;x
56;168;45;27;x;x
57;42;36;48;x;x
58;84;192;16;x;x
59;42;21;23;x;x
60;0;129;70;x;x
61;168;150;67;x;x
62;168;204;47;x;x
63;42;96;58;x;x
64;0;90;70;x;x
65;126;3;49;x;x
66;168;165;47;x;x
67;126;147;44;x;x
68;168;75;32;x;x
69;126;153;74;x;x
70;126;189;9;x;x
71;42;126;63;x;x
72;42;78;68;x;x
73;168;144;37;x;x
74;84;144;66;x;x
75;0;72;25;x;x
76;168;117;97;x;x
77;126;156;39;x;x
78;0;171;35;x;x
79;42;63;88;x;x
80;84;81;91;x;x
81;0;39;55;x;x
82;42;6;43;x;x
83;84;21;81;x;x
84;84;24;46;x;x
85;0;66;95;x;x
86;126;69;89;x;x
87;42;123;98;x;x
88;168;84;27;x;x
89;168;72;67;x;x
90;0;12;15;x;x
91;168;135;42;x;x
92;168;171;77;x;x
93;168;78;97;x;x
94;42;180;43;x;x
95;126;36;19;x;x
96;168;105;37;x;x
97;0;42;20;x;x
98;168;60;52;x;x
99;168;132;77;x;x
100;168;141;72;x;x
101;168;207;12;x;x
102;84;69;31;x;x
103;126;30;89;x;x
104;42;48;63;x;x
105;0;108;60;x;x
106;42;30;18;x;x
107;126;9;79;x;x
108;126;72;54;x;x
109;0;159;75;x;x
110;42;201;53;x;x
111;42;210;48;x;x
112;84;201;11;x;x
113;0;192;45;x;x
114;168;162;82;x;x
115;42;3;78;x;x
116;0;123;40;x;x
117;84;114;61;x;x
118;42;93;93;x;x
119;42;153;3;x;x
120;168;54;22;x;x
121;84;3;91;x;x
122;0;30;60;x;x
123;42;27;53;x;x
124;168;18;87;x;x
125;42;171;48;x;x
126;84;132;6;x;x
127;126;105;24;x;x
128;126;24;59;x;x
129;42;156;68;x;x
130;0;189;80;x;x
131;42;81;33;x;x
132;42;24;88;x;x
133;168;0;42;x;x
134;0;126;5;x;x
135;126;117;39;x;x
136;168;168;12;x;x
137;126;210;19;x;x
138;42;189;38;x;x
139;126;21;144;x;x
140;168;111;67;x;x
141;126;60;94;x;x
142;84;207;41;x;x
143;42;174;13;x;x
144;84;147;31;x;x
145;42;99;23;x;x
146;84;96;71;x;x
147;168;93;22;x;x
148;42;111;38;x;x
149;84;156;81;x;x
150;84;162;11;x;x
151;84;54;51;x;x
152;168;9;92;x;x
153;168;42;62;x;x
154;0;93;35;x;x
155;42;186;73;x;x
156;0;111;25;x;x
157;42;183;8;x;x
158;42;138;78;x;x
159;126;27;24;x;x
160;84;78;26;x;x
161;0;78;55;x;x
162;126;207;54;x;x
163;0;69;60;x;x
164;42;108;73;x;x
165;42;147;73;x;x
166;168;201;82;x;x
167;168;120;62;x;x
168;0;198;75;x;x
169;126;129;99;x;x
170;0;102;30;x;x
171;126;99;94;x;x
172;168;90;57;x;x
173;126;114;74;x;x
174;42;159;33;x;x
175;0;168;70;x;x
176;42;45;98;x;x
177;84;15;51;x;x
178;0;15;80;x;x
179;0;99;65;x;x
180;168;87;92;x;x
181;0;156;10;x;x
182;84;198;46;x;x
183;84;39;26;x;x
184;42;114;3;x;x
185;126;12;44;x;x
186;42;84;98;x;x
187;84;189;51;x;x
188;84;66;66;x;x
189;126;51;99;x;x
190;84;165;76;x;x
191;126;102;59;x;x
192;84;45;56;x;x
193;126;135;29;x;x
194;168;51;57;x;x
195;84;12;86;x;x
196;42;117;68;x;x
197;126;126;34;x;x
198;42;51;28;x;x
199;168;138;7;x;x
200;168;174;42;x;x
201;42;198;88;x;x
202;0;60;65;x;x
203;168;114;32;x;x
204;126;204;89;x;x
205;168;15;22;x;x
206;126;84;69;x;x
207;0;36;90;x;x
208;42;129;28;x;x
209;84;117;26;x;x
210;126;165;34;x;x
211;0;45;85;x;x
212;84;51;86;x;x
213;168;39;97;x;x
214;42;60;23;x;x
215;84;204;76;x;x
216;126;195;39;x;x
217;126;0;84;x;x
218;42;120;33;x;x
219;0;153;45;x;x
220;84;174;71;x;x
221;0;201;40;x;x
222;0;96;0;x;x
223;0;27;95;x;x
224;168;48;92;x;x
225;0;165;5;x;x
226;126;123;69;x;x
227;126;177;49;x;x
